CLASE,Fecha,Accidentes,Dia_Semana,Dia_festivo,Dia_madre,Dia_padre,Amor_amistad,Semana_santa,Mujer,Hombre,Puente,Fin Sem Puente,Semana,Dia_año,Anio,Mes,Dia
Atropello,2014-01-05,6,domingo,0,0,0,0,0,0,0,0,1,1,5,2014,01,05
Atropello,2014-01-12,6,domingo,0,0,0,0,0,0,0,0,1,2,12,2014,01,12
Atropello,2014-01-19,6,domingo,0,0,0,0,0,0,0,0,0,3,19,2014,01,19
Atropello,2014-01-26,12,domingo,0,0,0,0,0,0,0,0,0,4,26,2014,01,26
Atropello,2014-02-02,12,domingo,0,0,0,0,0,0,0,0,0,5,33,2014,02,02
Atropello,2014-02-09,14,domingo,0,0,0,0,0,0,0,0,0,6,40,2014,02,09
Atropello,2014-02-16,13,domingo,0,0,0,0,0,0,0,0,0,7,47,2014,02,16
Atropello,2014-02-23,14,domingo,0,0,0,0,0,0,0,0,0,8,54,2014,02,23
Atropello,2014-03-02,11,domingo,0,0,0,0,0,0,0,0,0,9,61,2014,03,02
Atropello,2014-03-09,12,domingo,0,0,0,0,0,0,0,0,0,10,68,2014,03,09
Atropello,2014-03-16,14,domingo,0,0,0,0,0,0,0,0,0,11,75,2014,03,16
Atropello,2014-03-23,16,domingo,0,0,0,0,0,0,0,0,1,12,82,2014,03,23
Atropello,2014-03-30,8,domingo,0,0,0,0,0,0,0,0,0,13,89,2014,03,30
Atropello,2014-04-06,11,domingo,0,0,0,0,0,0,0,0,0,14,96,2014,04,06
Atropello,2014-04-13,15,domingo,1,0,0,0,0,0,0,0,0,15,103,2014,04,13
Atropello,2014-04-20,10,domingo,0,0,0,0,1,0,0,0,0,16,110,2014,04,20
Atropello,2014-04-27,16,domingo,0,0,0,0,0,0,0,0,0,17,117,2014,04,27
Atropello,2014-05-04,17,domingo,0,0,0,0,0,0,0,0,0,18,124,2014,05,04
Atropello,2014-05-11,11,domingo,0,1,0,0,0,0,0,0,0,19,131,2014,05,11
Atropello,2014-05-18,9,domingo,0,0,0,0,0,0,0,0,0,20,138,2014,05,18
Atropello,2014-05-25,14,domingo,0,0,0,0,0,0,0,0,0,21,145,2014,05,25
Atropello,2014-06-01,12,domingo,0,0,0,0,0,0,0,0,1,22,152,2014,06,01
Atropello,2014-06-08,17,domingo,0,0,0,0,0,0,0,0,0,23,159,2014,06,08
Atropello,2014-06-15,12,domingo,0,0,0,0,0,0,0,0,0,24,166,2014,06,15
Atropello,2014-06-22,14,domingo,0,0,1,0,0,0,0,0,1,25,173,2014,06,22
Atropello,2014-06-29,18,domingo,0,0,0,0,0,0,0,0,0,26,180,2014,06,29
Atropello,2014-07-06,14,domingo,0,0,0,0,0,0,0,0,0,27,187,2014,07,06
Atropello,2014-07-13,10,domingo,0,0,0,0,0,0,0,0,0,28,194,2014,07,13
Atropello,2014-07-20,14,domingo,0,0,0,0,0,0,0,0,0,29,201,2014,07,20
Atropello,2014-07-27,14,domingo,0,0,0,0,0,0,0,0,0,30,208,2014,07,27
Atropello,2014-08-03,14,domingo,0,0,0,0,0,0,0,0,0,31,215,2014,08,03
Atropello,2014-08-10,23,domingo,0,0,0,0,0,0,0,0,0,32,222,2014,08,10
Atropello,2014-08-17,16,domingo,0,0,0,0,0,0,0,0,1,33,229,2014,08,17
Atropello,2014-08-24,16,domingo,0,0,0,0,0,0,0,0,0,34,236,2014,08,24
Atropello,2014-08-31,13,domingo,0,0,0,0,0,0,0,0,0,35,243,2014,08,31
Atropello,2014-09-07,9,domingo,0,0,0,0,0,0,0,0,0,36,250,2014,09,07
Atropello,2014-09-14,15,domingo,0,0,0,0,0,0,0,0,0,37,257,2014,09,14
Atropello,2014-09-21,16,domingo,0,0,0,0,0,0,0,0,0,38,264,2014,09,21
Atropello,2014-09-28,9,domingo,0,0,0,0,0,0,0,0,0,39,271,2014,09,28
Atropello,2014-10-05,5,domingo,0,0,0,0,0,0,0,0,0,40,278,2014,10,05
Atropello,2014-10-12,9,domingo,0,0,0,0,0,0,0,0,0,41,285,2014,10,12
Atropello,2014-10-19,16,domingo,0,0,0,0,0,0,0,0,0,42,292,2014,10,19
Atropello,2014-10-26,9,domingo,0,0,0,0,0,0,0,0,0,43,299,2014,10,26
Atropello,2014-11-02,9,domingo,0,0,0,0,0,0,0,0,1,44,306,2014,11,02
Atropello,2014-11-09,8,domingo,0,0,0,0,0,0,0,0,0,45,313,2014,11,09
Atropello,2014-11-16,7,domingo,0,0,0,0,0,0,0,0,1,46,320,2014,11,16
Atropello,2014-11-23,18,domingo,0,0,0,0,0,0,0,0,0,47,327,2014,11,23
Atropello,2014-11-30,16,domingo,0,0,0,0,0,0,0,0,0,48,334,2014,11,30
Atropello,2014-12-07,15,domingo,0,0,0,0,0,0,0,0,1,49,341,2014,12,07
Atropello,2014-12-14,18,domingo,0,0,0,0,0,0,0,0,0,50,348,2014,12,14
Atropello,2014-12-21,17,domingo,0,0,0,0,0,0,0,0,0,51,355,2014,12,21
Atropello,2014-12-28,10,domingo,0,0,0,0,0,0,0,0,0,52,362,2014,12,28
Atropello,2015-01-04,8,domingo,0,0,0,0,0,0,0,0,0,1,4,2015,01,04
Atropello,2015-01-11,10,domingo,0,0,0,0,0,0,0,0,1,2,11,2015,01,11
Atropello,2015-01-18,12,domingo,0,0,0,0,0,0,0,0,0,3,18,2015,01,18
Atropello,2015-01-25,19,domingo,0,0,0,0,0,0,0,0,0,4,25,2015,01,25
Atropello,2015-02-01,11,domingo,0,0,0,0,0,0,0,0,0,5,32,2015,02,01
Atropello,2015-02-08,14,domingo,0,0,0,0,0,0,0,0,0,6,39,2015,02,08
Atropello,2015-02-15,11,domingo,0,0,0,0,0,0,0,0,0,7,46,2015,02,15
Atropello,2015-02-22,5,domingo,0,0,0,0,0,0,0,0,0,8,53,2015,02,22
Atropello,2015-03-01,15,domingo,0,0,0,0,0,0,0,0,0,9,60,2015,03,01
Atropello,2015-03-08,13,domingo,0,0,0,0,0,1,0,0,0,10,67,2015,03,08
Atropello,2015-03-15,19,domingo,0,0,0,0,0,0,0,0,0,11,74,2015,03,15
Atropello,2015-03-22,10,domingo,0,0,0,0,0,0,0,0,1,12,81,2015,03,22
Atropello,2015-03-29,8,domingo,1,0,0,0,0,0,0,0,0,13,88,2015,03,29
Atropello,2015-04-05,6,domingo,1,0,0,0,1,0,0,0,0,14,95,2015,04,05
Atropello,2015-04-12,3,domingo,0,0,0,0,0,0,0,0,0,15,102,2015,04,12
Atropello,2015-04-19,11,domingo,0,0,0,0,0,0,0,0,0,16,109,2015,04,19
Atropello,2015-04-26,12,domingo,0,0,0,0,0,0,0,0,0,17,116,2015,04,26
Atropello,2015-05-03,8,domingo,0,0,0,0,0,0,0,0,0,18,123,2015,05,03
Atropello,2015-05-10,10,domingo,0,1,0,0,0,0,0,0,0,19,130,2015,05,10
Atropello,2015-05-17,16,domingo,0,0,0,0,0,0,0,0,1,20,137,2015,05,17
Atropello,2015-05-24,10,domingo,0,0,0,0,0,0,0,0,0,21,144,2015,05,24
Atropello,2015-05-31,14,domingo,0,0,0,0,0,0,0,0,0,22,151,2015,05,31
Atropello,2015-06-07,13,domingo,0,0,0,0,0,0,0,0,1,23,158,2015,06,07
